query_image_id,query_class,top1_class,top1_hit,correct_in_top5,precision_at_5,top5_image_ids,top5_classes,top5_distances
camel_camel_0011,camel,camel,1,5,1.0000,camel_camel_0013;camel_camel_0014;camel_camel_0015;camel_camel_0004;camel_camel_0006,camel;camel;camel;camel;camel,0.067873;0.084096;0.091438;0.096372;0.098093
camel_camel_0012,camel,camel,1,1,0.2000,camel_camel_0001;cat_cat_0007;goat_goat_0015;goat_goat_0021;dog_dog_0023,camel;cat;goat;goat;dog,0.055012;0.065342;0.067891;0.068437;0.069299
camel_camel_0013,camel,camel,1,5,1.0000,camel_camel_0011;camel_camel_0015;camel_camel_0004;camel_camel_0014;camel_camel_0005,camel;camel;camel;camel;camel,0.067873;0.077706;0.082752;0.091209;0.091500
camel_camel_0014,camel,camel,1,5,1.0000,camel_camel_0006;camel_camel_0011;camel_camel_0004;camel_camel_0015;camel_camel_0013,camel;camel;camel;camel;camel,0.074937;0.084096;0.085001;0.086502;0.091209
camel_camel_0015,camel,camel,1,3,0.6000,camel_camel_0004;camel_camel_0005;camel_camel_0013;horse_horse_0019;rabbit_rabbit_0013,camel;camel;camel;horse;rabbit,0.053288;0.075486;0.077706;0.084444;0.088925
camel_camel_0016,camel,camel,1,3,0.6000,camel_camel_0009;elephant_elephant_0014;camel_camel_0014;giraffe_giraffe_0011;camel_camel_0006,camel;elephant;camel;giraffe;camel,0.076156;0.100366;0.106692;0.106879;0.107281
camel_camel_0017,camel,elephant,0,0,0.0000,elephant_elephant_0004;elephant_elephant_0010;deer_deer_0021;rhino_rhino_0007;cow_cow_0014,elephant;elephant;deer;rhino;cow,0.053200;0.058272;0.062171;0.072834;0.079349
cat_cat_0001,cat,deer,0,0,0.0000,deer_deer_0023;giraffe_giraffe_0008;dog_dog_0024;giraffe_giraffe_0003;horse_horse_0039,deer;giraffe;dog;giraffe;horse,0.127863;0.140096;0.145210;0.149347;0.150728
cat_cat_0002,cat,horse,0,0,0.0000,horse_horse_0039;dog_dog_0015;deer_deer_0010;deer_deer_0018;dog_dog_0029,horse;dog;deer;deer;dog,0.100553;0.102453;0.102688;0.111852;0.114787
cat_cat_0003,cat,hippo,0,0,0.0000,hippo_hippo_0006;elephant_elephant_0009;elephant_elephant_0010;camel_camel_0004;elephant_elephant_0004,hippo;elephant;elephant;camel;elephant,0.100808;0.108476;0.110822;0.112659;0.117246
cat_cat_0004,cat,dog,0,0,0.0000,dog_dog_0003;dog_dog_0018;dog_dog_0002;dog_dog_0017;pig_pig_0001,dog;dog;dog;dog;pig,0.101472;0.101472;0.109993;0.109993;0.135225
cat_cat_0005,cat,rabbit,0,0,0.0000,rabbit_rabbit_0012;pig_pig_0001;dog_dog_0003;dog_dog_0018;horse_horse_0020,rabbit;pig;dog;dog;horse,0.140876;0.154759;0.155574;0.155574;0.155829
cat_cat_0006,cat,elephant,0,0,0.0000,elephant_elephant_0014;dog_dog_0013;rhino_rhino_0002;elephant_elephant_0007;deer_deer_0022,elephant;dog;rhino;elephant;deer,0.080843;0.086823;0.094282;0.096722;0.097539
cat_cat_0007,cat,cat,1,1,0.2000,cat_cat_0015;camel_camel_0012;goat_goat_0020;tiger_tiger_0015;goat_goat_0021,cat;camel;goat;tiger;goat,0.056589;0.065342;0.071658;0.072856;0.074170
cat_cat_0008,cat,dog,0,0,0.0000,dog_dog_0047;horse_horse_0024;dog_dog_0022;dog_dog_0040;deer_deer_0003,dog;horse;dog;dog;deer,0.104766;0.116508;0.119098;0.131508;0.144716
cat_cat_0009,cat,cat,1,1,0.2000,cat_cat_0018;dog_dog_0019;deer_deer_0031;goat_goat_0011;horse_horse_0010,cat;dog;deer;goat;horse,0.072841;0.083825;0.089753;0.089901;0.094569
cat_cat_0010,cat,cat,1,1,0.2000,cat_cat_0012;giraffe_giraffe_0002;giraffe_giraffe_0019;giraffe_giraffe_0013;giraffe_giraffe_0015,cat;giraffe;giraffe;giraffe;giraffe,0.086624;0.104787;0.109334;0.113017;0.113135
cat_cat_0011,cat,elephant,0,1,0.2000,elephant_elephant_0011;cat_cat_0012;rabbit_rabbit_0021;deer_deer_0026;hippo_hippo_0001,elephant;cat;rabbit;deer;hippo,0.079350;0.092357;0.092367;0.099755;0.100085
cat_cat_0012,cat,cat,1,3,0.6000,cat_cat_0015;cat_cat_0010;goat_goat_0012;cat_cat_0011;goat_goat_0019,cat;cat;goat;cat;goat,0.085015;0.086624;0.089907;0.092357;0.092586
cat_cat_0013,cat,rabbit,0,0,0.0000,rabbit_rabbit_0005;goat_goat_0010;goat_goat_0019;rabbit_rabbit_0011;deer_deer_0031,rabbit;goat;goat;rabbit;deer,0.072825;0.075282;0.077604;0.078208;0.079158
cat_cat_0014,cat,horse,0,0,0.0000,horse_horse_0018;tiger_tiger_0013;tiger_tiger_0011;camel_camel_0007;cow_cow_0011,horse;tiger;tiger;camel;cow,0.064623;0.101693;0.106030;0.116852;0.119364
cat_cat_0015,cat,cat,1,1,0.2000,cat_cat_0007;goat_goat_0012;goat_goat_0019;goat_goat_0010;goat_goat_0021,cat;goat;goat;goat;goat,0.056589;0.067884;0.071526;0.072698;0.078943
cat_cat_0016,cat,deer,0,1,0.2000,deer_deer_0031;rhino_rhino_0008;rhino_rhino_0009;goat_goat_0011;cat_cat_0013,deer;rhino;rhino;goat;cat,0.085294;0.092274;0.093598;0.096461;0.098999
cat_cat_0017,cat,tiger,0,0,0.0000,tiger_tiger_0009;goat_goat_0019;tiger_tiger_0002;dog_dog_0006;cow_cow_0008,tiger;goat;tiger;dog;cow,0.075677;0.083642;0.084798;0.085614;0.085859
cat_cat_0018,cat,cat,1,1,0.2000,cat_cat_0009;rabbit_rabbit_0013;camel_camel_0005;deer_deer_0007;rhino_rhino_0011,cat;rabbit;camel;deer;rhino,0.072841;0.087204;0.113574;0.116889;0.117462
cat_cat_0019,cat,cat,1,2,0.4000,cat_cat_0012;cat_cat_0010;deer_deer_0025;deer_deer_0016;dog_dog_0006,cat;cat;deer;deer;dog,0.110120;0.116467;0.117286;0.118718;0.125482
cat_cat_0020,cat,cat,1,1,0.2000,cat_cat_0023;tiger_tiger_0001;tiger_tiger_0010;zebra_zebra_0005;tiger_tiger_0007,cat;tiger;tiger;zebra;tiger,0.046421;0.062582;0.073253;0.076689;0.078844
cat_cat_0021,cat,elephant,0,0,0.0000,elephant_elephant_0001;deer_deer_0011;rhino_rhino_0015;dog_dog_0039;dog_dog_0037,elephant;deer;rhino;dog;dog,0.080055;0.081067;0.089088;0.090813;0.091782
cat_cat_0022,cat,hippo,0,0,0.0000,hippo_hippo_0003;horse_horse_0030;dog_dog_0002;dog_dog_0017;dog_dog_0031,hippo;horse;dog;dog;dog,0.082570;0.093088;0.093385;0.093385;0.105787
cat_cat_0023,cat,cat,1,1,0.2000,cat_cat_0020;zebra_zebra_0005;tiger_tiger_0010;tiger_tiger_0001;dog_dog_0002,cat;zebra;tiger;tiger;dog,0.046421;0.051661;0.053673;0.054500;0.061350
cow_cow_0001,cow,hippo,0,1,0.2000,hippo_hippo_0005;tiger_tiger_0007;rhino_rhino_0006;rhino_rhino_0013;cow_cow_0003,hippo;tiger;rhino;rhino;cow,0.059753;0.066928;0.069882;0.070264;0.070838
cow_cow_0002,cow,dog,0,1,0.2000,dog_dog_0002;dog_dog_0017;cow_cow_0003;dog_dog_0003;dog_dog_0018,dog;dog;cow;dog;dog,0.069859;0.069859;0.075274;0.080778;0.080778
cow_cow_0003,cow,cow,1,1,0.2000,cow_cow_0010;rhino_rhino_0013;pig_pig_0009;hippo_hippo_0005;dog_dog_0002,cow;rhino;pig;hippo;dog,0.050987;0.058626;0.068372;0.070095;0.070461
cow_cow_0004,cow,cow,1,2,0.4000,cow_cow_0018;cow_cow_0009;goat_goat_0001;camel_camel_0003;horse_horse_0034,cow;cow;goat;camel;horse,0.052715;0.075315;0.079037;0.085409;0.093643
cow_cow_0005,cow,goat,0,0,0.0000,goat_goat_0011;rhino_rhino_0010;deer_deer_0031;rhino_rhino_0008;rhino_rhino_0001,goat;rhino;deer;rhino;rhino,0.073200;0.077253;0.078860;0.085520;0.086092
cow_cow_0006,cow,hippo,0,2,0.4000,hippo_hippo_0005;deer_deer_0022;cow_cow_0003;horse_horse_0030;cow_cow_0012,hippo;deer;cow;horse;cow,0.076510;0.080839;0.084154;0.086057;0.088838
cow_cow_0007,cow,pig,0,0,0.0000,pig_pig_0003;rhino_rhino_0004;pig_pig_0011;hippo_hippo_0009;hippo_hippo_0013,pig;rhino;pig;hippo;hippo,0.066358;0.070493;0.077543;0.078244;0.079943
cow_cow_0008,cow,dog,0,0,0.0000,dog_dog_0042;tiger_tiger_0009;rhino_rhino_0009;tiger_tiger_0014;deer_deer_0025,dog;tiger;rhino;tiger;deer,0.066391;0.068075;0.068250;0.069457;0.069565
cow_cow_0009,cow,cow,1,2,0.4000,cow_cow_0004;cow_cow_0018;goat_goat_0001;horse_horse_0034;camel_camel_0003,cow;cow;goat;horse;camel,0.075315;0.087306;0.091081;0.102181;0.105137
cow_cow_0010,cow,cow,1,3,0.6000,cow_cow_0003;rhino_rhino_0013;cow_cow_0015;cow_cow_0012;rhino_rhino_0002,cow;rhino;cow;cow;rhino,0.050987;0.068337;0.071168;0.073781;0.081211
cow_cow_0011,cow,tiger,0,2,0.4000,tiger_tiger_0013;tiger_tiger_0011;horse_horse_0018;cow_cow_0016;cow_cow_0002,tiger;tiger;horse;cow;cow,0.095767;0.099764;0.111499;0.111681;0.114042
cow_cow_0012,cow,cow,1,3,0.6000,cow_cow_0003;cow_cow_0010;cow_cow_0001;horse_horse_0023;hippo_hippo_0012,cow;cow;cow;horse;hippo,0.072156;0.073781;0.075811;0.079013;0.081647
cow_cow_0013,cow,cow,1,1,0.2000,cow_cow_0016;goat_goat_0002;cat_cat_0022;hippo_hippo_0011;deer_deer_0017,cow;goat;cat;hippo;deer,0.065705;0.104243;0.109062;0.111345;0.112187
cow_cow_0014,cow,camel,0,1,0.2000,camel_camel_0017;deer_deer_0021;elephant_elephant_0004;cow_cow_0012;dog_dog_0013,camel;deer;elephant;cow;dog,0.079349;0.080832;0.081927;0.083641;0.089577
cow_cow_0015,cow,cow,1,2,0.4000,cow_cow_0003;cow_cow_0010;rhino_rhino_0013;pig_pig_0005;dog_dog_0002,cow;cow;rhino;pig;dog,0.064820;0.071168;0.072575;0.074989;0.076036
cow_cow_0016,cow,cow,1,1,0.2000,cow_cow_0013;deer_deer_0017;dog_dog_0032;horse_horse_0003;hippo_hippo_0011,cow;deer;dog;horse;hippo,0.065705;0.090286;0.097855;0.102965;0.111073
cow_cow_0017,cow,cow,1,2,0.4000,cow_cow_0012;dog_dog_0013;elephant_elephant_0002;cow_cow_0015;dog_dog_0027,cow;dog;elephant;cow;dog,0.094624;0.104023;0.105363;0.106882;0.110639
cow_cow_0018,cow,cow,1,1,0.2000,cow_cow_0004;goat_goat_0001;camel_camel_0003;deer_deer_0026;horse_horse_0007,cow;goat;camel;deer;horse,0.052715;0.073637;0.081410;0.084368;0.085378
deer_deer_0001,deer,deer,1,2,0.4000,deer_deer_0013;deer_deer_0014;pig_pig_0014;elephant_elephant_0001;dog_dog_0028,deer;deer;pig;elephant;dog,0.086714;0.097656;0.097664;0.098961;0.103397
deer_deer_0002,deer,deer,1,2,0.4000,deer_deer_0020;deer_deer_0016;goat_goat_0021;goat_goat_0013;dog_dog_0008,deer;deer;goat;goat;dog,0.060139;0.070079;0.084004;0.091029;0.095243
deer_deer_0003,deer,dog,0,0,0.0000,dog_dog_0034;dog_dog_0045;dog_dog_0029;rhino_rhino_0015;dog_dog_0033,dog;dog;dog;rhino;dog,0.089203;0.090350;0.096055;0.096803;0.099932
deer_deer_0004,deer,deer,1,3,0.6000,deer_deer_0019;deer_deer_0005;horse_horse_0039;deer_deer_0008;giraffe_giraffe_0024,deer;deer;horse;deer;giraffe,0.049298;0.093416;0.122357;0.149813;0.158568
deer_deer_0005,deer,deer,1,5,1.0000,deer_deer_0012;deer_deer_0014;deer_deer_0019;deer_deer_0004;deer_deer_0006,deer;deer;deer;deer;deer,0.061231;0.086942;0.089191;0.093416;0.099560
deer_deer_0006,deer,deer,1,3,0.6000,deer_deer_0014;giraffe_giraffe_0007;deer_deer_0012;deer_deer_0013;horse_horse_0006,deer;giraffe;deer;deer;horse,0.071096;0.088032;0.088123;0.089229;0.090461
deer_deer_0007,deer,deer,1,1,0.2000,deer_deer_0023;giraffe_giraffe_0011;camel_camel_0006;horse_horse_0015;horse_horse_0028,deer;giraffe;camel;horse;horse,0.080703;0.084754;0.085010;0.092790;0.092790
deer_deer_0008,deer,giraffe,0,0,0.0000,giraffe_giraffe_0034;horse_horse_0036;giraffe_giraffe_0014;giraffe_giraffe_0010;giraffe_giraffe_0024,giraffe;horse;giraffe;giraffe;giraffe,0.066264;0.087088;0.087332;0.089037;0.091240
deer_deer_0009,deer,deer,1,1,0.2000,deer_deer_0007;horse_horse_0015;horse_horse_0028;giraffe_giraffe_0011;horse_horse_0027,deer;horse;horse;giraffe;horse,0.100645;0.114813;0.114813;0.121603;0.123686
deer_deer_0010,deer,dog,0,2,0.4000,dog_dog_0015;horse_horse_0039;deer_deer_0030;dog_dog_0029;deer_deer_0018,dog;horse;deer;dog;deer,0.075576;0.078721;0.091641;0.101374;0.102426
deer_deer_0011,deer,dog,0,0,0.0000,dog_dog_0039;dog_dog_0032;cat_cat_0021;dog_dog_0033;dog_dog_0037,dog;dog;cat;dog;dog,0.069481;0.077838;0.081067;0.081955;0.084058
deer_deer_0012,deer,deer,1,4,0.8000,deer_deer_0005;deer_deer_0014;deer_deer_0015;deer_deer_0006;dog_dog_0029,deer;deer;deer;deer;dog,0.061231;0.069773;0.085472;0.088123;0.092521
deer_deer_0013,deer,deer,1,5,1.0000,deer_deer_0014;deer_deer_0001;deer_deer_0006;deer_deer_0012;deer_deer_0015,deer;deer;deer;deer;deer,0.084544;0.086714;0.089229;0.097062;0.110824
deer_deer_0014,deer,deer,1,4,0.8000,deer_deer_0012;deer_deer_0006;deer_deer_0013;deer_deer_0005;giraffe_giraffe_0007,deer;deer;deer;deer;giraffe,0.069773;0.071096;0.084544;0.086942;0.097711
deer_deer_0015,deer,deer,1,4,0.8000,deer_deer_0012;dog_dog_0029;deer_deer_0013;deer_deer_0028;deer_deer_0005,deer;dog;deer;deer;deer,0.085472;0.106661;0.110824;0.113586;0.113816
deer_deer_0016,deer,deer,1,4,0.8000,deer_deer_0002;deer_deer_0020;deer_deer_0026;deer_deer_0031;horse_horse_0035,deer;deer;deer;deer;horse,0.070079;0.088884;0.089343;0.089882;0.092819
deer_deer_0017,deer,cow,0,1,0.2000,cow_cow_0016;deer_deer_0029;horse_horse_0003;dog_dog_0031;dog_dog_0037,cow;deer;horse;dog;dog,0.090286;0.100059;0.103665;0.106980;0.109985
deer_deer_0018,deer,deer,1,2,0.4000,deer_deer_0010;cat_cat_0002;dog_dog_0034;dog_dog_0035;deer_deer_0003,deer;cat;dog;dog;deer,0.102426;0.111852;0.117864;0.119000;0.119796
deer_deer_0019,deer,deer,1,4,0.8000,deer_deer_0004;deer_deer_0005;deer_deer_0012;deer_deer_0014;giraffe_giraffe_0007,deer;deer;deer;deer;giraffe,0.049298;0.089191;0.093875;0.113928;0.119180
deer_deer_0020,deer,deer,1,3,0.6000,deer_deer_0002;goat_goat_0021;deer_deer_0016;deer_deer_0031;cow_cow_0018,deer;goat;deer;deer;cow,0.060139;0.086717;0.088884;0.092737;0.093774
deer_deer_0021,deer,camel,0,0,0.0000,camel_camel_0017;elephant_elephant_0010;elephant_elephant_0004;rhino_rhino_0004;hippo_hippo_0012,camel;elephant;elephant;rhino;hippo,0.062171;0.069903;0.076110;0.078004;0.078546
deer_deer_0022,deer,elephant,0,0,0.0000,elephant_elephant_0009;horse_horse_0016;horse_horse_0029;hippo_hippo_0006;pig_pig_0005,elephant;horse;horse;hippo;pig,0.072350;0.073062;0.073062;0.074784;0.077072
deer_deer_0023,deer,deer,1,1,0.2000,deer_deer_0007;dog_dog_0044;camel_camel_0006;giraffe_giraffe_0011;camel_camel_0014,deer;dog;camel;giraffe;camel,0.080703;0.097006;0.100461;0.100544;0.101145
deer_deer_0024,deer,elephant,0,0,0.0000,elephant_elephant_0014;zebra_zebra_0015;rhino_rhino_0006;zebra_zebra_0012;cat_cat_0023,elephant;zebra;rhino;zebra;cat,0.051215;0.066474;0.075193;0.077929;0.078537
deer_deer_0025,deer,goat,0,1,0.2000,goat_goat_0019;cow_cow_0008;deer_deer_0026;horse_horse_0035;horse_horse_0022,goat;cow;deer;horse;horse,0.057423;0.069565;0.077434;0.077992;0.081646
deer_deer_0026,deer,horse,0,1,0.2000,horse_horse_0035;dog_dog_0026;goat_goat_0001;deer_deer_0025;horse_horse_0017,horse;dog;goat;deer;horse,0.069346;0.071825;0.073901;0.077434;0.081013
deer_deer_0027,deer,rhino,0,0,0.0000,rhino_rhino_0015;goat_goat_0003;dog_dog_0033;dog_dog_0039;dog_dog_0037,rhino;goat;dog;dog;dog,0.080981;0.082920;0.084442;0.085747;0.086799
deer_deer_0028,deer,dog,0,2,0.4000,dog_dog_0046;dog_dog_0045;deer_deer_0015;rhino_rhino_0015;deer_deer_0003,dog;dog;deer;rhino;deer,0.097691;0.099845;0.113586;0.114837;0.116633
deer_deer_0029,deer,dog,0,0,0.0000,dog_dog_0037;elephant_elephant_0007;elephant_elephant_0002;dog_dog_0032;zebra_zebra_0004,dog;elephant;elephant;dog;zebra,0.069984;0.092150;0.093389;0.095214;0.095820
deer_deer_0030,deer,elephant,0,2,0.4000,elephant_elephant_0014;dog_dog_0043;deer_deer_0027;deer_deer_0010;pig_pig_0014,elephant;dog;deer;deer;pig,0.079606;0.089458;0.091596;0.091641;0.098579
deer_deer_0031,deer,goat,0,0,0.0000,goat_goat_0011;rabbit_rabbit_0005;cow_cow_0005;cat_cat_0013;cat_cat_0016,goat;rabbit;cow;cat;cat,0.053775;0.058732;0.078860;0.079158;0.085294
dog_dog_0001,dog,horse,0,0,0.0000,horse_horse_0037;deer_deer_0014;deer_deer_0001;zebra_zebra_0004;deer_deer_0013,horse;deer;deer;zebra;deer,0.090842;0.106037;0.106162;0.107083;0.111077
dog_dog_0002,dog,dog,1,1,0.2000,dog_dog_0017;pig_pig_0009;cow_cow_0003;rhino_rhino_0013;hippo_hippo_0003,dog;pig;cow;rhino;hippo,-0.000000;0.065614;0.070461;0.071241;0.074930
dog_dog_0003,dog,dog,1,3,0.6000,dog_dog_0018;pig_pig_0009;dog_dog_0002;dog_dog_0017;cow_cow_0002,dog;pig;dog;dog;cow,-0.000000;0.073183;0.075144;0.075144;0.080778
dog_dog_0004,dog,rabbit,0,1,0.2000,rabbit_rabbit_0008;rabbit_rabbit_0017;dog_dog_0025;rabbit_rabbit_0009;deer_deer_0031,rabbit;rabbit;dog;rabbit;deer,0.073607;0.075725;0.080980;0.081049;0.083913
dog_dog_0005,dog,goat,0,0,0.0000,goat_goat_0002;camel_camel_0009;hippo_hippo_0011;elephant_elephant_0003;deer_deer_0003,goat;camel;hippo;elephant;deer,0.082106;0.116328;0.116522;0.120901;0.121004
dog_dog_0006,dog,dog,1,1,0.2000,dog_dog_0007;rhino_rhino_0014;tiger_tiger_0002;rhino_rhino_0010;cat_cat_0017,dog;rhino;tiger;rhino;cat,0.054430;0.078373;0.083993;0.084963;0.085614
dog_dog_0007,dog,dog,1,1,0.2000,dog_dog_0006;rabbit_rabbit_0005;rabbit_rabbit_0014;rhino_rhino_0014;rhino_rhino_0009,dog;rabbit;rabbit;rhino;rhino,0.054430;0.070479;0.072078;0.073034;0.078449
dog_dog_0008,dog,dog,1,2,0.4000,dog_dog_0023;dog_dog_0009;camel_camel_0012;goat_goat_0021;goat_goat_0020,dog;dog;camel;goat;goat,0.061339;0.067492;0.071308;0.071739;0.073215
dog_dog_0009,dog,dog,1,2,0.4000,dog_dog_0023;goat_goat_0022;goat_goat_0015;dog_dog_0025;goat_goat_0021,dog;goat;goat;dog;goat,0.049571;0.055197;0.056577;0.057311;0.062466
dog_dog_0010,dog,dog,1,2,0.4000,dog_dog_0027;hippo_hippo_0011;horse_horse_0003;deer_deer_0030;dog_dog_0013,dog;hippo;horse;deer;dog,0.103415;0.106991;0.113663;0.128521;0.131867
dog_dog_0011,dog,deer,0,0,0.0000,deer_deer_0022;elephant_elephant_0002;zebra_zebra_0012;zebra_zebra_0003;deer_deer_0024,deer;elephant;zebra;zebra;deer,0.094631;0.098611;0.103469;0.105164;0.106574
dog_dog_0012,dog,dog,1,5,1.0000,dog_dog_0003;dog_dog_0018;dog_dog_0002;dog_dog_0017;dog_dog_0005,dog;dog;dog;dog;dog,0.115229;0.115229;0.119061;0.119061;0.129045
dog_dog_0013,dog,horse,0,0,0.0000,horse_horse_0027;deer_deer_0022;cow_cow_0015;cat_cat_0006;rhino_rhino_0002,horse;deer;cow;cat;rhino,0.079842;0.084333;0.085951;0.086823;0.087329
dog_dog_0014,dog,dog,1,3,0.6000,dog_dog_0044;horse_horse_0019;camel_camel_0015;dog_dog_0036;dog_dog_0013,dog;horse;camel;dog;dog,0.069346;0.097352;0.100334;0.106817;0.107429
dog_dog_0015,dog,deer,0,0,0.0000,deer_deer_0010;deer_deer_0030;deer_deer_0027;cat_cat_0002;cat_cat_0006,deer;deer;deer;cat;cat,0.075576;0.087689;0.102294;0.102453;0.106762
dog_dog_0016,dog,pig,0,0,0.0000,pig_pig_0017;rhino_rhino_0009;goat_goat_0010;goat_goat_0015;goat_goat_0022,pig;rhino;goat;goat;goat,0.045292;0.048794;0.053626;0.057610;0.058030
dog_dog_0017,dog,dog,1,1,0.2000,dog_dog_0002;pig_pig_0009;cow_cow_0003;rhino_rhino_0013;hippo_hippo_0003,dog;pig;cow;rhino;hippo,-0.000000;0.065614;0.070461;0.071241;0.074930
dog_dog_0018,dog,dog,1,3,0.6000,dog_dog_0003;pig_pig_0009;dog_dog_0002;dog_dog_0017;cow_cow_0002,dog;pig;dog;dog;cow,-0.000000;0.073183;0.075144;0.075144;0.080778
dog_dog_0019,dog,dog,1,1,0.2000,dog_dog_0006;cat_cat_0009;deer_deer_0031;goat_goat_0011;cat_cat_0016,dog;cat;deer;goat;cat,0.082863;0.083825;0.084719;0.087808;0.091417
dog_dog_0020,dog,dog,1,2,0.4000,dog_dog_0025;goat_goat_0013;goat_goat_0009;dog_dog_0016;goat_goat_0018,dog;goat;goat;dog;goat,0.043305;0.058592;0.059928;0.062328;0.063362
dog_dog_0021,dog,elephant,0,2,0.4000,elephant_elephant_0014;camel_camel_0006;dog_dog_0038;dog_dog_0013;horse_horse_0038,elephant;camel;dog;dog;horse,0.078983;0.084538;0.094337;0.098266;0.100371
dog_dog_0022,dog,horse,0,1,0.2000,horse_horse_0024;horse_horse_0004;dog_dog_0047;cat_cat_0008;goat_goat_0014,horse;horse;dog;cat;goat,0.078786;0.086722;0.114130;0.119098;0.134429
dog_dog_0023,dog,dog,1,3,0.6000,dog_dog_0009;dog_dog_0008;goat_goat_0015;goat_goat_0022;dog_dog_0020,dog;dog;goat;goat;dog,0.049571;0.061339;0.066480;0.068002;0.068945
dog_dog_0024,dog,deer,0,0,0.0000,deer_deer_0023;giraffe_giraffe_0008;giraffe_giraffe_0030;horse_horse_0036;camel_camel_0008,deer;giraffe;giraffe;horse;camel,0.117487;0.118947;0.132569;0.140820;0.141019
dog_dog_0025,dog,dog,1,1,0.2000,dog_dog_0020;goat_goat_0018;goat_goat_0013;goat_goat_0017;goat_goat_0015,dog;goat;goat;goat;goat,0.043305;0.051912;0.055910;0.056152;0.056544
dog_dog_0026,dog,goat,0,1,0.2000,goat_goat_0001;dog_dog_0023;goat_goat_0012;deer_deer_0026;goat_goat_0021,goat;dog;goat;deer;goat,0.068431;0.070766;0.071310;0.071825;0.072217
dog_dog_0027,dog,dog,1,2,0.4000,dog_dog_0013;deer_deer_0022;dog_dog_0010;horse_horse_0016;horse_horse_0029,dog;deer;dog;horse;horse,0.091441;0.100222;0.103415;0.108449;0.108449
dog_dog_0028,dog,zebra,0,1,0.2000,zebra_zebra_0018;dog_dog_0046;rhino_rhino_0015;deer_deer_0011;elephant_elephant_0001,zebra;dog;rhino;deer;elephant,0.065571;0.072981;0.085969;0.089911;0.096968
dog_dog_0029,dog,dog,1,3,0.6000,dog_dog_0034;dog_dog_0033;pig_pig_0014;deer_deer_0012;dog_dog_0032,dog;dog;pig;deer;dog,0.075189;0.085561;0.090718;0.092521;0.092880
dog_dog_0030,dog,dog,1,3,0.6000,dog_dog_0036;deer_deer_0024;dog_dog_0002;dog_dog_0017;elephant_elephant_0014,dog;deer;dog;dog;elephant,0.075950;0.079212;0.079550;0.079550;0.080242
dog_dog_0031,dog,dog,1,2,0.4000,dog_dog_0032;dog_dog_0037;goat_goat_0002;zebra_zebra_0014;horse_horse_0003,dog;dog;goat;zebra;horse,0.076592;0.085993;0.088057;0.089523;0.097268
dog_dog_0032,dog,dog,1,3,0.6000,dog_dog_0037;dog_dog_0033;zebra_zebra_0004;dog_dog_0031;horse_horse_0003,dog;dog;zebra;dog;horse,0.067148;0.068593;0.073278;0.076592;0.092765
