image_id,class_name,image_path,gray_path,color_00,color_01,color_02,color_03,color_04,color_05,color_06,color_07,color_08,color_09,color_10,color_11,color_12,color_13,color_14,color_15,color_16,color_17,color_18,color_19,color_20,color_21,color_22,color_23,gray_00,gray_01,gray_02,gray_03,gray_04,gray_05,gray_06,gray_07,gray_08,gray_09,gray_10,gray_11,gray_12,gray_13,gray_14,gray_15,edge_density,edge_bin_0,edge_bin_45,edge_bin_90,edge_bin_135,shape_aspect_ratio,shape_area_ratio,shape_bbox_width,shape_bbox_height,object_center_x,object_center_y,shape_extent,shape_compactness,texture_horizontal,texture_vertical,texture_diagonal,texture_contrast
camel_camel_0011,camel,D:\CSDLDPT\data_processed_bmp\camel\camel_0011.bmp,D:\CSDLDPT\data_processed_gray_bmp\camel\camel_0011.bmp,0.00001045,0.00074172,0.00159835,0.00500397,0.01077055,0.01298525,0.05021729,0.25200577,0.00137896,0.00462789,0.01014375,0.01434332,0.03080732,0.18648406,0.07819356,0.00735448,0.00985124,0.01311061,0.05268271,0.17031257,0.00604864,0.00258034,0.07151811,0.00722912,0.00031340,0.00184907,0.00294597,0.00401153,0.01168986,0.01610881,0.01538799,0.01748778,0.02892691,0.04857716,0.04964272,0.33173499,0.22420710,0.19477874,0.03889307,0.01344490,0.10196110,0.31339219,0.16122246,0.24089750,0.28448786,0.30369128,0.53748804,0.80803571,0.66517857,0.49553571,0.49553571,0.18969928,0.77801297,0.02024624,0.01921959,0.02683129,0.02209904
camel_camel_0012,camel,D:\CSDLDPT\data_processed_bmp\camel\camel_0012.bmp,D:\CSDLDPT\data_processed_gray_bmp\camel\camel_0012.bmp,0.00183450,0.00390320,0.00683060,0.02287276,0.05604996,0.08044496,0.09071038,0.07068696,0.00515222,0.01206089,0.04711163,0.08208431,0.09519906,0.06237315,0.01834504,0.01100703,0.00995316,0.04523810,0.08918813,0.10460578,0.05027322,0.01666667,0.01186573,0.00554254,0.00597190,0.00597190,0.00901639,0.01440281,0.02740047,0.06346604,0.08840749,0.11955504,0.12962529,0.14941452,0.13770492,0.11241218,0.06651054,0.02985948,0.02365340,0.01662763,0.11674904,0.29835146,0.20207390,0.18606614,0.31350851,0.35991379,0.38608099,0.74553571,0.51785714,0.49107143,0.56473214,0.30239521,0.75989128,0.07408508,0.06185946,0.07963945,0.07186133
camel_camel_0013,camel,D:\CSDLDPT\data_processed_bmp\camel\camel_0013.bmp,D:\CSDLDPT\data_processed_gray_bmp\camel\camel_0013.bmp,0.00061025,0.00208707,0.00441824,0.01659893,0.02941428,0.02679018,0.05251852,0.20089585,0.00380799,0.01196099,0.03820195,0.02467870,0.01141176,0.12488253,0.03679836,0.08159106,0.02830361,0.04240050,0.02106599,0.14308032,0.01219289,0.00191620,0.00866562,0.07570820,0.00358830,0.00439383,0.00530922,0.01318150,0.02980484,0.05217678,0.06253890,0.05426385,0.01427996,0.01204643,0.02735162,0.10501263,0.35322764,0.03002453,0.20771850,0.02508147,0.09058115,0.32155818,0.17049333,0.27851410,0.22943440,0.32413793,0.54328763,0.83928571,0.64732143,0.49776786,0.50446429,0.16672781,0.77230217,0.02299956,0.02297115,0.03257174,0.02618082
camel_camel_0014,camel,D:\CSDLDPT\data_processed_bmp\camel\camel_0014.bmp,D:\CSDLDPT\data_processed_gray_bmp\camel\camel_0014.bmp,0.00003100,0.00046499,0.00365789,0.01616086,0.05143784,0.03073044,0.10838319,0.12246712,0.00284158,0.02037674,0.04451471,0.02470628,0.02557426,0.11430402,0.09744051,0.00357523,0.03494632,0.04045383,0.02711388,0.04816227,0.08721080,0.00853509,0.08401790,0.00289325,0.00021699,0.00154996,0.00712979,0.01584054,0.04296475,0.08183763,0.06361016,0.04032983,0.03815989,0.03716792,0.04525869,0.10561394,0.26541430,0.24334294,0.00108497,0.01047770,0.17765466,0.32484605,0.23214997,0.24618239,0.19682160,0.29559748,0.59574298,0.83928571,0.70982143,0.49776786,0.52232143,0.29820688,0.77991253,0.03192357,0.03025490,0.04302588,0.03506811
camel_camel_0015,camel,D:\CSDLDPT\data_processed_bmp\camel\camel_0015.bmp,D:\CSDLDPT\data_processed_gray_bmp\camel\camel_0015.bmp,0.00003693,0.00119399,0.00710241,0.01571886,0.02632939,0.10681930,0.07757262,0.09855982,0.00147710,0.01269079,0.02578779,0.03515510,0.01969473,0.21715903,0.01774988,0.00361891,0.01564500,0.04143279,0.03349335,0.07806499,0.04002954,0.10997046,0.01209995,0.00259724,0.00025849,0.00151403,0.00620384,0.01750369,0.02780650,0.03615214,0.04579025,0.05251108,0.05505908,0.02573855,0.03076071,0.56406942,0.11624815,0.00941654,0.00044313,0.01052437,0.12177136,0.24597561,0.23484966,0.27100601,0.24816872,0.36718750,0.47959184,0.83928571,0.57142857,0.49776786,0.59151786,0.25390625,0.75708306,0.02582289,0.02846725,0.03663776,0.03030930
camel_camel_0016,camel,D:\CSDLDPT\data_processed_bmp\camel\camel_0016.bmp,D:\CSDLDPT\data_processed_gray_bmp\camel\camel_0016.bmp,0.00222460,0.00766018,0.02217255,0.08846985,0.05707360,0.03720960,0.05075657,0.06776637,0.01830049,0.03553065,0.04866839,0.02567735,0.05010598,0.10043233,0.04807026,0.00654788,0.06233079,0.05818590,0.08144977,0.02077693,0.00326345,0.00202523,0.01755546,0.08774581,0.00818485,0.02043065,0.03793364,0.05310710,0.08159668,0.07221558,0.03916137,0.03459674,0.04353712,0.07023232,0.22706668,0.19750677,0.05820689,0.03651703,0.00129069,0.01841592,0.19834184,0.28480357,0.15721989,0.32052960,0.23744695,0.31125828,0.56576849,0.83928571,0.67410714,0.49776786,0.54017857,0.35057066,0.77604208,0.03478137,0.03975164,0.05151761,0.04201687
camel_camel_0017,camel,D:\CSDLDPT\data_processed_bmp\camel\camel_0017.bmp,D:\CSDLDPT\data_processed_gray_bmp\camel\camel_0017.bmp,0.00503809,0.00685399,0.00899757,0.01613828,0.05996559,0.20787253,0.02581852,0.00264875,0.00819202,0.01051309,0.01662980,0.04651703,0.11628574,0.03203080,0.10184047,0.00132438,0.01137326,0.02183174,0.04797794,0.11224434,0.03163485,0.00458753,0.01066328,0.09302040,0.00450561,0.01781765,0.01150979,0.01298435,0.02342918,0.02392070,0.03534857,0.07802900,0.13725731,0.20869173,0.11186205,0.02539527,0.29278283,0.01253379,0.00024576,0.00368641,0.15684790,0.28673526,0.25552610,0.21236788,0.24537076,0.39495798,0.44587054,0.83928571,0.53125000,0.49776786,0.61160714,0.35177901,0.74572368,0.03644333,0.03193256,0.04333451,0.03723680
cat_cat_0001,cat,D:\CSDLDPT\data_processed_bmp\cat\cat_0001.bmp,D:\CSDLDPT\data_processed_gray_bmp\cat\cat_0001.bmp,0.02288360,0.11242184,0.05432900,0.02403800,0.01188071,0.03857624,0.06162819,0.00757576,0.00039683,0.01735209,0.07596200,0.08377826,0.05120250,0.08429533,0.01325156,0.00709476,0.00013228,0.00021645,0.00143098,0.00543531,0.01934824,0.11374459,0.09961520,0.09341029,0.00007215,0.00068543,0.00183983,0.03149351,0.12694805,0.11663059,0.13560606,0.13149351,0.07020202,0.06392496,0.05714286,0.17059885,0.06482684,0.00656566,0.01219336,0.00977633,0.08605708,0.39185257,0.22104221,0.15151005,0.23559516,0.20710059,0.47154018,0.62500000,0.75446429,0.50669643,0.50000000,0.18250211,0.77848035,0.02863237,0.02079107,0.03648580,0.02863641
cat_cat_0002,cat,D:\CSDLDPT\data_processed_bmp\cat\cat_0002.bmp,D:\CSDLDPT\data_processed_gray_bmp\cat\cat_0002.bmp,0.03601001,0.03239854,0.01287567,0.01243601,0.13309048,0.08131562,0.01848653,0.00672047,0.04322248,0.02915345,0.01420511,0.12119880,0.09007736,0.01905181,0.01109611,0.00532822,0.04640476,0.03021072,0.12873578,0.07759947,0.03014791,0.01023773,0.00482576,0.00517120,0.02091511,0.10287975,0.06079829,0.02942562,0.02094652,0.02119775,0.05206796,0.24793518,0.18195522,0.12957322,0.05222498,0.02716453,0.02446378,0.01253023,0.00979807,0.00612379,0.12577726,0.25063621,0.29203583,0.24586409,0.21146387,0.27529762,0.61941964,0.82589286,0.75000000,0.49553571,0.49776786,0.20305663,0.78357663,0.02411636,0.02588024,0.03547912,0.02849191
cat_cat_0003,cat,D:\CSDLDPT\data_processed_bmp\cat\cat_0003.bmp,D:\CSDLDPT\data_processed_gray_bmp\cat\cat_0003.bmp,0.00093618,0.00641756,0.00940247,0.01721752,0.03725714,0.04467871,0.06825952,0.14916422,0.03758276,0.05676761,0.14627429,0.03345816,0.02812602,0.01546727,0.01062358,0.00503365,0.00925323,0.03136872,0.06185553,0.10308803,0.10215185,0.01123413,0.00580701,0.00857484,0.00077336,0.01738033,0.01147835,0.03439433,0.05641485,0.09821719,0.10770107,0.13289645,0.36983067,0.05108271,0.03984858,0.02316021,0.01542657,0.01042006,0.03089385,0.00008141,0.13022162,0.27131337,0.25628495,0.25240662,0.21999507,0.38495575,0.39186065,0.77678571,0.50446429,0.51562500,0.62053571,0.33231614,0.74991799,0.02899698,0.02958390,0.04336041,0.03398043
cat_cat_0004,cat,D:\CSDLDPT\data_processed_bmp\cat\cat_0004.bmp,D:\CSDLDPT\data_processed_gray_bmp\cat\cat_0004.bmp,0.00048203,0.00177588,0.00621559,0.03858741,0.08923815,0.12659512,0.05375853,0.01668062,0.11616815,0.07980059,0.01890047,0.01221554,0.02907375,0.04320471,0.02306112,0.01090900,0.09730573,0.09991882,0.02134866,0.01786031,0.03542888,0.03640561,0.01486668,0.01019865,0.00121775,0.00372936,0.03090037,0.18863688,0.29496156,0.07805008,0.04102291,0.03074815,0.02797017,0.04882411,0.06815587,0.07021082,0.05148794,0.02766573,0.03485806,0.00156024,0.09679927,0.24626059,0.21140322,0.27100706,0.27132913,0.38211382,0.46085778,0.83928571,0.54910714,0.49776786,0.59821429,0.21004152,0.75109013,0.02696082,0.03030995,0.04307842,0.03344973
cat_cat_0005,cat,D:\CSDLDPT\data_processed_bmp\cat\cat_0005.bmp,D:\CSDLDPT\data_processed_gray_bmp\cat\cat_0005.bmp,0.00016437,0.06178971,0.14234057,0.06106180,0.01395933,0.01266789,0.03026674,0.01108293,0.00054006,0.08945008,0.13458016,0.04555274,0.00986193,0.01353668,0.02939795,0.01041373,0.00000000,0.00017611,0.00569409,0.02547666,0.07172208,0.11583075,0.08436649,0.03006716,0.00000000,0.00007044,0.01965342,0.09347704,0.21164413,0.22530995,0.13584813,0.08882784,0.04476613,0.01595520,0.01405325,0.02673288,0.04215976,0.04790082,0.03360101,0.00000000,0.06738281,0.20915358,0.24767101,0.32120713,0.22196828,0.37600000,0.46835140,0.83928571,0.55803571,0.49776786,0.55803571,0.14387234,0.75357947,0.01508614,0.01729048,0.02231865,0.01823176
cat_cat_0006,cat,D:\CSDLDPT\data_processed_bmp\cat\cat_0006.bmp,D:\CSDLDPT\data_processed_gray_bmp\cat\cat_0006.bmp,0.00003555,0.00345988,0.02823594,0.05738424,0.16515001,0.06027537,0.01726385,0.00152851,0.00642211,0.05938670,0.04621072,0.04798806,0.11563344,0.05647187,0.00107825,0.00014219,0.04890042,0.06366415,0.02970520,0.03243045,0.10720887,0.05117541,0.00010664,0.00014219,0.00003555,0.00195507,0.03618655,0.08136642,0.09014645,0.07187544,0.06771648,0.09661595,0.11801507,0.27175459,0.09764681,0.06074932,0.00543865,0.00007109,0.00003555,0.00039101,0.14098374,0.27117406,0.30047896,0.23302081,0.19532617,0.30650685,0.52084662,0.79910714,0.65178571,0.49107143,0.55133929,0.27068187,0.77730066,0.02169422,0.02050831,0.02918722,0.02379658
cat_cat_0007,cat,D:\CSDLDPT\data_processed_bmp\cat\cat_0007.bmp,D:\CSDLDPT\data_processed_gray_bmp\cat\cat_0007.bmp,0.00198632,0.00290591,0.01383065,0.02593247,0.05072464,0.08725079,0.09957331,0.05112926,0.00658427,0.02008387,0.03380416,0.06348856,0.09129699,0.05480762,0.04388288,0.01938498,0.02813948,0.03726183,0.07275804,0.07959979,0.03998382,0.03233282,0.03277422,0.01048334,0.00463474,0.00673141,0.01875966,0.02880159,0.03586405,0.04844405,0.06930038,0.09048775,0.12072390,0.14555286,0.12933127,0.08817038,0.07790775,0.06808652,0.05296844,0.01423527,0.14702248,0.24555414,0.25056192,0.25548799,0.24839595,0.32031250,0.41836735,0.73214286,0.57142857,0.49776786,0.54241071,0.35141959,0.77346023,0.08801260,0.08715047,0.11257857,0.09591388
cat_cat_0008,cat,D:\CSDLDPT\data_processed_bmp\cat\cat_0008.bmp,D:\CSDLDPT\data_processed_gray_bmp\cat\cat_0008.bmp,0.09085460,0.08766838,0.08004459,0.01033681,0.01535275,0.03699381,0.01008444,0.00199796,0.10306319,0.08951912,0.06419761,0.01087311,0.01358613,0.03759319,0.01156714,0.00293385,0.12952038,0.09081254,0.03917053,0.01038939,0.01396469,0.03407048,0.01330221,0.00210312,0.16416922,0.13965740,0.13401054,0.13915265,0.11877346,0.07795199,0.01530017,0.01785545,0.01123064,0.02772958,0.06662671,0.04747784,0.02025300,0.01211395,0.00757122,0.00012619,0.08982382,0.31672415,0.24700074,0.18512526,0.25114985,0.30666667,0.55006378,0.82142857,0.66964286,0.49776786,0.53348214,0.16329710,0.77725947,0.02080099,0.02273161,0.03046908,0.02466723
cat_cat_0009,cat,D:\CSDLDPT\data_processed_bmp\cat\cat_0009.bmp,D:\CSDLDPT\data_processed_gray_bmp\cat\cat_0009.bmp,0.00039343,0.00430314,0.01823301,0.02246238,0.02272057,0.02798269,0.11287745,0.12436068,0.00280319,0.01684371,0.03292515,0.02059359,0.00852021,0.02429429,0.11077506,0.11657814,0.02679011,0.03665044,0.01282335,0.00474575,0.00312285,0.03564227,0.14861808,0.06494049,0.00077456,0.00538507,0.01080702,0.02906462,0.04831809,0.04356005,0.04086751,0.02895397,0.02334760,0.01235615,0.01165536,0.05669076,0.14532310,0.19954264,0.33523901,0.00811449,0.07814493,0.24403321,0.22660642,0.31507270,0.21428767,0.31205674,0.49457908,0.78571429,0.62946429,0.47098214,0.50446429,0.15800290,0.77582385,0.01614863,0.01730293,0.02289712,0.01878289
cat_cat_0010,cat,D:\CSDLDPT\data_processed_bmp\cat\cat_0010.bmp,D:\CSDLDPT\data_processed_gray_bmp\cat\cat_0010.bmp,0.07540732,0.08878666,0.04876366,0.03411923,0.02507188,0.02698869,0.02319341,0.01100249,0.09699061,0.07824420,0.04692352,0.03120567,0.02545524,0.02549358,0.02024152,0.00877899,0.11868890,0.06950355,0.04301323,0.02817711,0.02553191,0.02338509,0.01836304,0.00667050,0.06451984,0.21690627,0.14410581,0.09476711,0.07556067,0.06543991,0.05152386,0.04439333,0.03668775,0.03795285,0.04197815,0.03645773,0.03565267,0.02679701,0.02702703,0.00023002,0.10833865,0.28174138,0.25118740,0.24114532,0.22592589,0.17741935,0.33980389,0.49107143,0.69196429,0.49330357,0.51339286,0.31882698,0.76275051,0.06396021,0.06282517,0.08231495,0.06970011
cat_cat_0011,cat,D:\CSDLDPT\data_processed_bmp\cat\cat_0011.bmp,D:\CSDLDPT\data_processed_gray_bmp\cat\cat_0011.bmp,0.00158353,0.02991115,0.08852380,0.06294537,0.05601742,0.04853963,0.02399490,0.02181754,0.00659805,0.06048210,0.08188176,0.05795285,0.05465382,0.03598135,0.01977215,0.01601126,0.01928829,0.08548870,0.06870766,0.05907451,0.05065101,0.02170757,0.01805666,0.01035893,0.00138559,0.01431776,0.05126683,0.11064925,0.13935075,0.11632357,0.08597255,0.08940354,0.08201372,0.08386118,0.06974136,0.04414093,0.03028504,0.03081288,0.04889153,0.00158353,0.17330995,0.30554627,0.21874859,0.22642135,0.24928379,0.28645833,0.47353316,0.73660714,0.64285714,0.49107143,0.54241071,0.36599327,0.78177063,0.05015008,0.04242695,0.06004216,0.05087306
cat_cat_0012,cat,D:\CSDLDPT\data_processed_bmp\cat\cat_0012.bmp,D:\CSDLDPT\data_processed_gray_bmp\cat\cat_0012.bmp,0.00000000,0.00009283,0.00779799,0.08122911,0.10332343,0.06207451,0.02998515,0.04883030,0.01216116,0.08676816,0.08265256,0.06216735,0.01729793,0.01191360,0.03017081,0.03020176,0.10849115,0.08884144,0.04876841,0.01290382,0.00789083,0.01083055,0.03208937,0.02351776,0.00027850,0.00120683,0.02701448,0.12337542,0.14584107,0.12495358,0.14277757,0.11604159,0.06164129,0.02970665,0.02005199,0.01800965,0.02998515,0.05375046,0.09097661,0.01438916,0.12482063,0.32498046,0.24696939,0.22540969,0.20264046,0.23611111,0.49398119,0.68303571,0.72321429,0.52678571,0.52008929,0.25268297,0.78475702,0.05575285,0.05077384,0.07257869,0.05970179
cat_cat_0013,cat,D:\CSDLDPT\data_processed_bmp\cat\cat_0013.bmp,D:\CSDLDPT\data_processed_gray_bmp\cat\cat_0013.bmp,0.00000000,0.00000000,0.00019290,0.00151565,0.01948302,0.13120040,0.11378417,0.06715719,0.00008267,0.00077160,0.01942791,0.10179674,0.10863095,0.03262787,0.01917989,0.05081570,0.01769180,0.09793871,0.10209987,0.03323413,0.01510141,0.00986552,0.02557319,0.03182870,0.00000000,0.00000000,0.00041336,0.00049603,0.00322421,0.01471561,0.06183862,0.13822751,0.22800926,0.18716931,0.09606481,0.05084325,0.02934854,0.03554894,0.08391204,0.07018849,0.13133769,0.28426370,0.23099987,0.27053745,0.21419898,0.33730159,0.42689732,0.75892857,0.56250000,0.50669643,0.60491071,0.30765640,0.76804368,0.04391344,0.04648703,0.06077184,0.05039077
cat_cat_0014,cat,D:\CSDLDPT\data_processed_bmp\cat\cat_0014.bmp,D:\CSDLDPT\data_processed_gray_bmp\cat\cat_0014.bmp,0.21376382,0.05642162,0.00961462,0.01154019,0.02695788,0.01333386,0.00143758,0.00026378,0.22327293,0.06099813,0.03043971,0.01541769,0.00208383,0.00087046,0.00018464,0.00006594,0.16860542,0.14915196,0.01128960,0.00243993,0.00125293,0.00048799,0.00005276,0.00005276,0.18315265,0.45509219,0.17456675,0.02286935,0.02457071,0.03873546,0.05218802,0.03193005,0.00862546,0.00344227,0.00229485,0.00146396,0.00075176,0.00011870,0.00000000,0.00019783,0.05628189,0.31469031,0.26807920,0.18158857,0.23564193,0.35877863,0.49083227,0.83928571,0.58482143,0.49776786,0.58482143,0.11466623,0.76032217,0.01462882,0.01298820,0.01820782,0.01527495
